,ciudad,codproyecto,direccion,latitud,longitud
441,Bogota,C90351,Cr. 11 # 84-50,4.6671913,-74.05154519999999
442,Bogota,C90352,Cl. 94 # 14-11,4.6791344,-74.049802
444,Bogota,C90354,Cl. 71 Con Caracas,4.658379300000001,-74.0621677
446,Bogota,C90356,Aut. Norte Av. Central,4.684800699999999,-74.0575695
447,Bogota,C90357,Km 1.5 vía Bogotá,,
448,Bogota,C90358,Cr. 103D # 152-35,4.7518288,-74.0929677
449,Bogota,C90359,Cr. 19C   89-20,4.6762432,-74.0574695
450,Bogota,C90360,Cl. 93 # 17-23,4.6773827,-74.053742
452,Bogota,C90362,Cl. 90 # 13A-43,4.6737931,-74.05205529999999
455,Bogota,C90365,Cr. 21 # 128D-10,4.7147863,-74.0502908
457,Bogota,C90367,Cl. 93 # 11A-11,4.6746307,-74.04849449999999
459,Bogota,C90369,Mosquera,4.6967517,-74.2032983
461,Bogota,C90371,Cr. 9 # 52A-28,4.639196099999999,-74.0636421
462,Bogota,C90372,Cl. 53B # 28-85,4.643833100000001,-74.0779262
463,Bogota,C90373,Av. 68 # 98-34,4.688266899999999,-74.0738971
464,Bogota,C90374,Vía Siberia Bogotá,4.7992783,-74.1107167
466,Bogota,C90377,Cl. 106 # 56-62,4.694495,-74.0653075
468,Bogota,C90379,Cr. 4 # 16-03,4.6012533,-74.0701722
469,Bogota,C90380,Av. 19 # 114-09,4.6971723,-74.05037469999999
470,Bogota,C90381,Av. 19 # 108-11,4.6795554,-74.14820350000001
471,Bogota,C90382,Cr. 47A # 95-91,4.6848535,-74.0603441
472,Bogota,C90383,Cl. 106 # 57-11,4.6939255,-74.0655033
473,Bogota,C90384,Cl. 120 # 7-33,4.6971465,-74.0326975
478,Bogota,C90391,Cr. 16 # 93-92,4.678153,-74.05199329999999
481,Bogota,C90394,Cl. 124 # 7-38,4.699799899999999,-74.0294385
482,Bogota,C90395,Av. 13 # 94-64,4.6478469,-74.0583753
483,Bogota,C90396,Av. Cra. 19 # 100-66,4.686597,-74.0520257
484,Bogota,C90398,Cra 11B # 96-70,4.680514899999999,-74.0460094
485,Bogota,C90399,Calle 89 # 19A-34,4.6760493,-74.0572351
486,Bogota,C90400,Av. La Esperanza con futura Av. Longitudinal de Occidente,4.6621789,-74.1164622
487,Bogota,C90401,Cra. 7 # 59-54,4.644712,-74.0613
488,Bogota,C90402,Cra. 7 # 59-55,4.6447502,-74.0614297
489,Bogota,C90403,Calle 26. Av. El Dorado Cra. 59 y 62,4.6461478,-74.0982329
490,Bogota,C90405,Cra 7 # 119-45,4.6962117,-74.0316983
491,Bogota,C90406,Km. 17 Vía Bogotá-Mosquera,,
493,Bogota,C90408,Av. 9 #127,4.7047002,-74.0326094
494,Bogota,C90409,Cra. 87K #56F-86 Sur,4.6263311,-74.1880773
495,Bogota,C90411,Cra 22 # 10-69,4.6069433,-74.0891676
497,Bogota,C90413,Cra 22 # 10-70,4.606766599999999,-74.08883329999999
498,Bogota,C90414,Variante Chia-Cota frente a Parmalat,4.8479731,-74.0533189
502,Bogota,C90418,Av. Parque con cra 59,4.6584796,-74.09345789999999
503,Bogota,C90419,Km. 14 Vía Mosquera,,
504,Bogota,C90420,Av. Ciudad Cali con Esperanza,4.6720483,-74.125267
505,Bogota,C90421,Av. 9 # 123-36,4.6998371,-74.0326975
508,Bogota,C90424,Av. Esperanza # 62-49,4.6394196,-74.098869
509,Bogota,C90425,Cl. 106 # 56-76,4.694439099999999,-74.0654223
510,Bogota,C90426,Calle 93 # 15-27,4.676805799999999,-74.0523767
511,Bogota,C90427,Calle 98A # 51-37,4.6865955,-74.062022
512,Bogota,C90428,Cra 11A # 96-47,4.6796812,-74.0451441
513,Bogota,C90429,Transv. 21 # 98-55,4.685975,-74.05478699999999
515,Bogota,C90431,Av. 9 # 101-43,4.6862603,-74.04662929999999
516,Bogota,C90433,Km. 1 Variante Madrid vía Mosquera,,
520,Bogota,C90437,Cra 16 # 93A-36,4.6786433,-74.0517914
521,Bogota,C90438,Cra 63 # 57G-46 Sur,4.599654399999999,-74.1547554
522,Bogota,C90439,Calle 93 con NQS,4.6803212,-74.0586551
523,Bogota,C90440,Km. 3 vía Mosquera Tres Esquinas,,
524,Bogota,C90441,Vía Guaymaral 200 mts antes de la Variante Chia-Cota,4.8165608,-74.07446070000002
525,Bogota,C90442,Cra 5 # 7-80,4.584067,-74.0728144
526,Bogota,C90443,Cra 11 con calle 85 esquina,4.6678609,-74.0515291
527,Bogota,C90444,Vía Troncal de Occidente Calle 13,4.6229498,-74.1014824
530,Bogota,C90447,Troncal de Occidente Vía Funza Bogotá 200 mts antes del peaje,4.6990433,-74.1845404
533,Bogota,C90450,Tranv. 23 # 97-73,4.6855666,-74.0564878
534,Bogota,C90451,Paralela Autopista Norte con calle 100,4.684775999999999,-74.0481124
536,Bogota,C90453,Av. 19 # 116-71,4.6999786,-74.0784116
538,Bogota,C90456,Av. Boyacá con Cl. 80,4.697398199999999,-74.08767139999999
539,Bogota,C90457,Cra. 15 # 88-70,4.6742177,-74.0531483
540,Bogota,C90458,Cl. 146 # 7-64,4.7216799,-74.0269368
541,Bogota,C90459,Calle 19A # 91-05,4.6659647,-74.1365205
542,Bogota,C90460,Autop. Sur Cl. 32 Cerca a C.C. Mercurio,4.5878502,-74.2034673
543,Bogota,C90461,Cl. 103 paralela Autop. Norte,4.6908405,-74.05707629999999
544,Bogota,C90462,Cl. 93 Cra. 14,4.6763055,-74.05121869999999
545,Bogota,C90463,Cra. 7 # 63-44,4.648263000000001,-74.05941179999999
546,Bogota,C90464,Cra. 7A#126A-79,4.6245157,-74.1565245
550,Bogota,C90468,Autop. Norte # 108A-50,4.6960784,-74.0551526
551,Bogota,C90469,Calle 76 # 13-67,4.662196,-74.05847059999999
552,Bogota,C90472,Cra. 7B # 127-16,4.7034392,-74.0300206
555,Bogota,C90475,Tr. 91 # 139-06,4.7368313,-74.0847507
557,Bogota,C90477,Cra 7B # 123-52,4.6996326,-74.0311585
558,Bogota,C90478,"Salida peaje cl. 13, 200 mts costado sur",4.6108766,-74.0879136
559,Bogota,C90479,"1,5 Km de la glorieta de Siberia vía Cota",4.7989923,-74.1109483
